Title,Section,Ingredients,Instruction,Variations,Nutrition Information
Codonyat,Postres i dolços,"Codonys

	Sucre","Feu bullir amb aigua uns 20 minuts els codonys tallats a trossos.

	Peseu la polpa dels codonys i poseu-la en una cassola.

	Per cada quilo de polpa de codony afegiu-hi 800 g de sucre.

	Coeu-ho al foc sense parar de remenar uns 40 minuts, fins que agafi color vermellós.

	Poseu-ho a refredar en terrines.",S’hi pot afegir aigua de bullir els codonys.,"{'Agua (g)': {'Per una ració': '33,5', '%QDO': ''}, 'Energía (kcal)': {'Per una ració': '178', '%QDO': '8,90%'}, 'Proteínas (g)': {'Per una ració': '0,17', '%QDO': '0,34%'}, 'Grasa total (g)': {'Per una ració': '0,2', '%QDO': '0,29%'}, 'Hidratos de carbono totales (g)': {'Per una ració': '42,8', '%QDO': '15,85%'}, 'Fibra dietética (g)': {'Per una ració': '2,3', '%QDO': '7,67%'}, 'Grasa saturada (AGS) (g)': {'Per una ració': '0,015', '%QDO': '0,08%'}, 'Grasa monoinsaturada (AGM) (g)': {'Per una ració': '0,089', '%QDO': ''}, 'Grasa poliinsaturada (AGP) (g)': {'Per una ració': '0,08', '%QDO': ''}, 'Colesterol (mg)': {'Per una ració': '0', '%QDO': '0%'}, '': {'Per una ració': '', 'QDR': ''}}"
Crespells de borraina,Postres i dolços,"Fulles de borraina.
Farina.
Agua .
Sal i oli.
Sucre o mel","Netegeu les fulles de borraina i les escorreu.
Feu una pasta amb la farina, l’aigua i un pessic de sal.
Passeu cada fulla per la pasta i fregiu-les amb oli abundant fins que siguin rosses.
Poseu-les en una plàtera, hi tireu sucre o mel per sobre.

S’han de menjar recent fetes.","La pasta d’arrebossar es pot fer amb ous , llet i farina.
També s’hi pot afegir una mica de llevat premsat.
Es pot afegir una mica de mel a la pasta.","{'': {'Per una ració': '', 'QDR': ''}}"
Farcellets de col,Verdures i altres hortalisses,"1 col.
300 g de carn de porc picada.
20 g de panses.
20 g de pinyons.
1 llesca de pa remullada amb llet.
Farina.
1 raig de vi ranci.
Sal.
Pebre.
Oli.
Aigua.
Per fer la picada:
2 grans d’all. 
Un grapadet d’ametlles. 
2 galetes maria.","Netegeu la col retirant-ne els nervis més gruixuts, renteu-la, escaldeu-ne les fulles i refredeu-les amb aigua i eixugueu-les sobre un tovalló.
Feu una barreja amb la carn picada, la molla de pa, les panses i els pinyons, i salpebreu-la.
Poseu en el centre de cada fulla una cullerada de la carn preparada i emboliqueu-la amb la fulla fent un farcellet.
Enfarineu els farcellets i fregiu-los fins que quedin rossos.
Col•loqueu-los en una cassola, tireu-hi el vi ranci i deixeu-lo reduir, afegiu-hi la picada i cobriu amb aigua; deixeu-ho coure a foc lent una mitja hora.","Es pot fer amb carn de xai en comptes de porc.
Es pot posar meitat de carn de porc i meitat de carn de vedella.
A vegades es posa cansalada en el farciment del farcellet.
Es poden fer farcellets sense farcir, amb la col arrebossada amb ou i farina.
Abans de posar-los a la cassola s’hi pot fer un sofregit de ceba, tomàquet i pebrot.
S’hi pot posar pernil.","{'': {'Per una ració': '', 'QDR': ''}}"
Sardines salades,Peixos i mariscs,"8 sardines salades o de la costa. Vinagre de vi. 2 tomàquets d’amanir.
Per fer la picada: 4 grans d’all. Una mica de molla de pa. Tàperes. Julivert. Un trosset de bitxo. Oli.","Remulleu les sardines en vinagre durant dues hores, escorreu-les i eixugueu-les.
	Feu una picada amb l’all, la molla de pa, les tàperes, el julivert i el bitxo, i deixateu-la amb força oli.
	Col•loqueu les sardines en una plata i pel damunt afegiu-hi la picada.
	Serviu-les acompanyades d’unes rodanxes fines de tomàquet.","En lloc de sardines també es pot fer amb seitons.
	Es pot fer amb sardines filetejades, sense cap ni espina.","{'': {'Per una ració': '', 'QDR': ''}}"
Llagosta amb cargols de marge,Peixos i mariscs,"2 llagostes d’1 kg aprox.
1 kg de cargols cuits (vegeu cargols a la cassola).
2 tomàquets madurs ratllats.
1 ceba grossa trinxada fina.
1 cullerada de pebre vermell dolç.
Julivert.
Safrà.
40 gr  d’ametlles torrades i pelades.
1 got d’oli.
1 copa de malvasia. 
½ l de brou de peix.
Sal.
Pebre.
Oli.","Talleu la llagosta a trossos; reserveu-ne la sang i la melsa.
Saltegeu-la en una cassola de ferro amb l’oli roent, tireu-hi la malvasia i flamegeu-la. Escorreu els trossos de llagosta i reserveu-los.
Sofregiu la ceba i el tomàquet en el mateix oli.
Quan sigui confitat afegiu-hi el pebre vermell, el julivert trinxat, el safrà i les ametlles picades.
Mulleu-ho amb el brou calent, poseu-hi la llagosta i els cargols, pebre, la sang amb la melsa ben picada i deixeu-ho coure uns 10 minuts.
Tasteu de sal.",En comptes de brou de peix podeu fer servir aigua.,"{'': {'Per una ració': '', 'QDR': ''}}"
Carquinyolis,Postres i dolços,"150 g d’ametlles crues amb pell.
1 ou.
1 rovell d’ou.
1 pell de llimona ratllada.
150 g de sucre.
250 g de farina.
5 cl d’aigua.
1 cullerada de llevat en pols.
Unes gotes d’anís.
Canyella.","Feu un cercle amb la farina i poseu al centre el sucre, el llevat, la ratlladura de llimona, la canyella, les ametlles, l’aigua, l’anís i l’ou.
Barregeu primer els ingredients del mig i desprès treballeu-ho amb la farina fins aconseguir una massa bastant dura. 
Feu unes barretes allargades i planes de 3 a 4 cm d’amplada per la meitat d’alçada. 
Pinteu-les amb el rovell d’ou barrejat amb una mica d’aigua.
Col•loqueu aquestes barretes al forn prèviament escalfat i deixeu-les coure a temperatura regular fins que siguin daurades.
Traieu-les del forn i talleu-les a llesques al biaix abans no es refredin.
Quan estiguin tallats els carquinyolis poseu-los un moment al forn perquè es torrin, fins que quedin secs i cruixents.",,"{'': {'Per una ració': '', 'QDR': ''}}"
Sardines a la brasa,Peixos i mariscs,"1 kg de sardines.
Oli.
Sal.","Renteu i saleu les sardines i col•loqueu-les a la graella damunt d’una bona brasa.
Un cop cuites d’un costat les feu coure per l’altre.
En treure-les del foc amaniu-les amb un raig d’oli.","S’hi pot posar una picada d’all i julivert per sobre quan es treuen del foc.
També s’hi pot posar pebre.
Es pot fer amb altres peixos en comptes de sardines: verat, truita de riu, etc.","{'': {'Per una ració': '', 'QDR': ''}}"
Truita de tirabecs,Ous,"8 ous. 
500 g de tirabecs. 
Oli. 
Sal.","Saleu i fregiu els tirabecs fins que siguin rossos.
Escorreu l’oli i barregeu els tirabecs amb els ous batuts amb sal.
Feu la truita rodona, primer a foc lent per un cantó, tot procurant que la mescla es qualli; després li doneu la volta per coure l’altre costat.",,"{'': {'Per una ració': '', 'QDR': ''}}"
Llom arrebossat,Carns,"8 talls de llom de porc tallat a rodanxes gruixudes d’un dit.
Farina.
1 ou.
Pa ratllat.
Sal.
Pebre.
Oli.","Salpebreu els talls de llom.
Passeu-los per farina, ou batut i pa ratllat, per aquet ordre. 
Fregiu-los amb oli ben calent pel dos costats.",El llom es pot tallar com un llibret i farcir-los de formatge i pernil dolç  Llibrets de llomillo.,"{'': {'Per una ració': '', 'QDR': ''}}"
Sopa de pa torrat amb múrgoles,"Sopes, escudelles, brous, farientes i cremes","300 g de múrgoles.
2 cebes.
2 ous.
Unes llesques de pa torrat.
1 litre de brou de carn.
Oli.
Sal.","Sofregiu la ceba.
Afegiu-hi les múrgoles i sofregiu-ho tot junt.
Banyeu-ho amb el brou i deixeu-ho bullir fins que les múrgoles estiguin toves.
Afegiu-hi els ous batuts i el pa.
Remeneu-ho amb la batedora fins que quedi tot quallat.",,"{'': {'Per una ració': '', 'QDR': ''}}"
Costelló de porc rostit,Carns,"1 kg de costelló de porc.
1 ceba tallada a la juliana.
2 grans d’all.
2 tomàquets tallats a quarts.
Farigola.
Un raig de conyac.
Sal. 
Pebre.
Oli.
Aigua.","Enrossiu el costelló salpebrat en una cassola amb una mica d’oli.
Quan hagi agafat color afegiu-hi la ceba, els alls, la farigola i els tomàquets.
Flamegeu-ho amb el conyac i poseu-hi una mica d’aigua.
Deixeu-ho coure fins que la carn estigui tova, remenant de tant en quan.
Poseu-ho a punt de sal.",Es pot acompanyar d’albergínies arrebossades o carxofes arrebossades.,"{'': {'Per una ració': '', 'QDR': ''}}"
Amanida de ganyims,Amanides i plats freds,"200 g de ganyims de tonyina

	2 tomàquets d’amanir tallats a grills

	1 pebrot vermell tallat a rodanxes

	1 ceba tallada a tires

	1 enciam o 1 escarola

	Olives arbequines i negres

	Oli / Sal / Vinagre","Esqueixeu la carn de la tonyina i poseu-la a dessalar.

	Escorreu-la bé i barregeu-la amb les olives.

	Munteu l’amanida amb tots els ingredients i amaniu-la amb oli, sal i vinagre.",,"{'Energia (kcal)': {'Per una ració': '228', '%QDO': '11,40%'}, 'Proteïnes (g)': {'Per una ració': '8,6', '%QDO': '17,20%'}, 'Greix total (g)': {'Per una ració': '18,1', '%QDO': '25,86%'}, 'Hidrats de carboni totals (g)': {'Per una ració': '5,8', '%QDO': '2,15%'}, 'Fibra dietètica (g)': {'Per una ració': '3,5', '%QDO': '11,67%'}, 'Ac. grassos saturats (AGS) (g)': {'Per una ració': '3,3', '%QDO': '16,50%'}, 'Ac. grassos monoinsaturats (AGM) (g)': {'Per una ració': '9,9', '%QDO': ''}, 'Ac. grassos poliinsaturats (AGP) (g)': {'Per una ració': '2,8', '%QDO': ''}, 'Colesterol (mg)': {'Per una ració': '13,9', '%QDO': '4,63%'}, 'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Flam,Postres i dolços,"1 l de llet.
8 ous.
350 g de sucre.
1 branca de canyella.
1 pell de llimona.
Aigua.","Poseu en un recipient al foc 150 g de sucre amb una mica d’aigua fins que agafi un color torrat i repartiu-lo al fons d’uns motlles.
Poseu a bullir la llet amb 200 g de sucre, la branca de canyella i la pell de llimona. 
Bateu els ous i barregeu-los amb la llet colada.
Ompliu els motlles amb la barreja i poseu-los a coure al bany maria fins que quallin.",Abans de servir-lo es pot flamejar amb rom.,"{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Ànec rostit amb bolets,Carns,"1 ànec trossejat.
2 pastanagues tallades a rodelles.
2 cebes trinxades.
2 tomàquets trinxats.
2 grans d’all.
1 kg de barreja de bolets.
1 copa de brandi.
Un manat d’herbes: sajolida, timó, llorer.
Llard.
Sal.
Pebre.
Aigua.
Per fer la picada:
Un grapadet d’ametlles.
1 borrego.","Salpebreu l’ànec i enrossiu-lo en una cassola amb llard.
Escorreu el greix sobrant i afegiu a la cassola les pastanagues, la ceba i, més tard, els tomàquets i el manat d’herbes.
Quan el sofregit estigui fosc, tireu-hi el brandi i flamegeu-lo.
Cobriu-ho amb aigua i quan l’ànec estigui tendre afegiu-hi els bolets passats per la paella amb els alls trinxats i la picada, i ho deixeu coure a foc suau uns 10 minuts més.",,"{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Macarrons de Frare,"Pastes, arrossos i altres cereals","300 g de macarrons

	200 g de cigrons

	100 g de formatge ratllat

	2 tomàquets

	2  rovells d’ou / 1 ceba

	Uns brins de safrà

	Nou moscada

	Sal  / Pebre negre / Aigua","Poseu a bullir els cigrons remullats. Quan estiguin cuits, traieu la meitat del caldo de cocció i substituïu-lo per aigua.

	Feu el sofregit amb la ceba, els tomàquets, el safrà, nou moscada, sal i pebre.

	Afegiu-lo a l’olla dels cigrons i deixeu-ho bullir.

	Al cap d’una estona, tireu-hi els macarrons i retireu-ho del foc quan estiguin cuits.

	Afegiu-hi els rovells d’ou ben deixatats en el caldo.

	Ha de quedar un plat caldós.

	Serviu-ho amb formatge ratllat a gust de cadascú.",El caldo es pot espessir amb cigrons aixafats.,"{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Tall rodó amb rovellons,Carns,"Per a 6 persones
1 tall rodó de vedella.
500 g de rovellons.
3 cebes partides.
2 pastanagues tallades a rodelles.
3 tomàquets tallats a quarts.
1 cabeça d’alls.
1 branca d’api.
1 copa de vi blanc.
1 cullerada de farina.
Llorer.
1 branca de canyella.
Farigola.
Sal.
Pebre.
Oli.
Llard.
Aigua.
Per fer la picada:
2 grans d’all.
Un grapadet d’ametlles torrades.","Lligueu el tall rodó amb un fil per donar-li forma. 
Salpebreu-lo i rostiu-lo en una cassola amb oli i llard. 
Afegiu-hi els alls, les cebes, les pastanagues, l’api, el llorer, la canyella i la farigola. 
Deixeu-ho coure 5 minuts i afegiu-hi els tomàquets; deixeu-ho al foc uns 15 minuts més,  tireu-hi el vi blanc i deixeu-lo reduir. 
Espolseu la farina per sobre i remeneu. 
Banyeu-ho amb aigua i deixeu-ho coure fins que el tall rodó sigui tou. 
Retireu la carn del foc i coleu la salsa; afegiu-hi la picada i els bolets. 
Deixeu-ho coure 5 minuts. 
Talleu la carn a rodanxes, poseu-ho en una cassola, cobriu-lo amb la salsa i els bolets, i feu-li arrencar el bull.","Es pot acompanyar la vedella amb altres tipus de bolets, verdures bullides o fregides, o pèsols escaldats, que cal incorporar juntament amb la picada.
Es pot menjar fred, com uns entremesos, acompanyat d’unes llesques de pa torrat.","{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Plat dels traginers,Llegums,"600 g de bacallà dessalat.
2 cebes trinxades.
600 g de mongetes bullides.
Farina.
Oli.
Sal.
Per fer la picada:
2 grans d’alls.
Un grapadet d’ametlles torrades.
Una llesca de pa fregit.","Enfarineu i fregiu el bacallà, i reserveu-lo.
En el mateix oli fregiu la ceba, afegiu-hi la picada deixatada amb una mica d’aigua i deixeu-ho bullir 5 minuts.
Afegiu-hi el bacallà i les mongetes.
Deixeu-ho coure a foc lent uns 10 minuts.",Es pot acompanyar de trossets de truita amb trampa.,"{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Bacallà a la catalana,Peixos i mariscs,"800 g de bacallà dessalat.
2 cebes trinxades.
4 tomàquets trinxats.
½ kg de patates esbocinades.
¼ kg de pèsols.
2 carxofes.
2 ous durs.
Farina.
1 fulla de llorer.
Oli.
Aigua.
Per fer la picada:
2 grans d’all.
Uns brins de safrà.
Julivert.","Enfarineu i fregiu el bacallà, i reserveu-lo.
Feu un sofregit amb la ceba, els tomàquets i el llorer.
Afegiu-hi aigua i quan arrenqui el bull afegiu-hi les patates i els pèsols.
A mitja cocció de les patates afegiu-hi el bacallà i les carxofes fregides.
En l’últim moment afegiu-hi la picada i els ous durs.","També s’hi pot afegir truita de farina.
S’hi pot fer una reducció de vi blanc.","{'Vitamina B12 (µg)': {'Per \xa0ració': '1,2', 'QDR': '1'}, 'Vitamina C (mg)': {'Per \xa0ració': '73,2', 'QDR': '60'}, 'AGP+AGM/AGS': {'Per \xa0ració': '3,84ñ', 'QDR': '> 2'}}"
Amanida de màstecs,Amanides i plats freds,"Un manat de màstecs
Vinagreta.","Trieu els màstecs, renteu-los un parell de vegades i escorreu-los molt bé.

	Amaniu-los amb la vinagreta.",,"{'Aigua (g)': {'Per ració': '148', '%QDO': ''}, 'Energia (kcal)': {'Per ració': '120', '%QDO': '6%'}, 'Proteïnes (g)': {'Per ració': '0,77', '%QDO': '1,54%'}, 'Greix total (g)': {'Per ració': '10,9', '%QDO': '15,57%'}, 'Hidrats de carboni totals (g)': {'Per ració': '3,7', '%QDO': '1,37%'}, 'Fibra dietètica (g)': {'Per ració': '1,9', '%QDO': '6,33%'}, 'Ac. grassos saturats (AGS) (g)': {'Per ració': '1,8', '%QDO': '9%'}, 'Ac. grassos monoinsaturats (AGM) (g)': {'Per ració': '7,1', '%QDO': ''}, 'Ac. grassos poliinsaturats (AGP) (g)': {'Per ració': '1,5', '%QDO': ''}, 'Colesterol (mg)': {'Per ració': '0', '%QDO': ''}, 'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Truita de patoia,Ous,"8 ous.
400 g de patoia.
Oli.
Sal.","Saltegeu la patoia en una paella amb oli.
Saleu-lo i afegiu-hi els ous batuts.
Barregeu-ho tot i feu la truita.",,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Sopes de cireres,Postres i dolços,"300 g de cireres negres.
150 g de pa tallat a dauets.
150 g de mantega.
100 g de sucre.
Farina.
1 copa d’aiguardent de cireres.
Aigua.","Poseu en una paella una part de la mantega, fregiu-hi els dauets de pa i reserveu-los.
Humitegeu les cireres amb aigua, enfarineu-les i fregiu-les amb la mantega restant.
Afegiu-hi el sucre i deixeu que s’enrosseixi.
Afegiu-hi un raig d’aigua i deixeu que vagi bullint fins que les cireres quedin cuites.
Tireu-hi l’aiguardent i en l’últim moment els dauets de pa fregits.",,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Coradella amb allioli,Carns,"150 g de pulmons de xai.
150 g de cor de xai.
200 g de fetge de xai.
100 g de sang de xai.
2 grans d’all.
2 cebes.
2 tomàquets.
1 cullerada de farina.
Llorer.
Farigola.
1 copa de vi blanc.
Oli.
Sal. 
Pebre.
Aigua.
Allioli.","Fregiu el pulmó i el cor tallats a daus en una cassola amb oli i reserveu-ho.
En el mateix oli fregiu el fetge i la sang, tallats igualment a daus, i reserveu-ho.
En el mateix oli feu un sofregit amb l’all, la ceba, el tomàquet, el llorer i la farigola.
Tireu-hi el vi i deixeu-lo reduir. 
Afegiu-hi la farina i deixeu-la coure un parell de minuts, remenant. 
Mulleu-ho amb aigua, afegiu-hi els pulmons i el cor, i deixeu que vagi coent lentament.
Quan estigui tou, afegiu-hi el fetge i la sang i ho deixeu coure tot junt un moment més.
Poseu-ho a punt de sal i pebre.
Serviu-ho acompanyat d’allioli.","Es pot fer el sofregit només amb ceba.
Es pot barrejar tot amb l’allioli, fora del foc.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Cor de vedella guisat,Carns,"800 g de cor de vedella.
1 ceba trinxada. 
4 tomàquets madurs. 
2 alls.
1 copa de vi ranci.
Llorer.
Pebre negre en gra.
1 branca de canyella. 
Orenga.
Un tros de pell de taronja seca.
Oli.
Sal.
Aigua o brou de carn.","Talleu el cor a daus i fregiu-lo en una cassola amb oli; reserveu-lo.
En el mateix oli feu un sofregit amb la ceba, els alls i els tomàquets; afegiu-hi les herbes, les espècies i la pell de taronja seca. 
Feu la reducció del vi ranci, mulleu amb aigua o brou de carn i tireu-hi el cor.
Deixeu-ho coure amb la cassola tapada a foc lent, fins que el cor sigui tendre.","S’hi pot afegir una picada i patates.
Es pot fer amb salsa de romesco.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Sopa de musclos,"Sopes, escudelles, brous, farientes i cremes","40 musclos.
1 ceba.
3 tomàquets madurs.
3 alls.
Llesques de pa torrat.
Oli.
Sal.
Pebre.
Aigua.
Per fer la picada:
2 alls.
Julivert.
Canyella.
¼ de copa d’aiguardent.","Poseu els musclos en una olla al foc amb una mica d’aigua perquè s’obrin. 
Feu un sofregit amb la ceba i el tomàquet, i mulleu-lo amb l’aigua d’obrir els musclos i una mica més si cal. 
Quan arrenqui el bull afegiu-hi les llesques de pa, els musclos sense closca i la picada diluïda amb l’aiguardent.
Deixeu-ho bullir 10 minuts i poseu-ho a punt de sal.","Es pot posar safrà a la picada.
S’hi pot afegir una mica de formatge ratllat en l’últim moment.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Arròs amb conill,"Pastes, arrossos i altres cereals","400 g d’arròs.
1 conill trossejat.
1 ceba.
1 gra d’all.
3 tomàquets.
Oli.
Llard.
1 l d’aigua.
Per fer la picada:
1 gra d’all.
Julivert.
Safrà.","Fregiu els trossos de conill en una cassola amb oli i llard i retireu-los.
A la mateixa cassola feu el sofregit ben concentrat amb la ceba, l’all i els tomàquets.
Quan sigui fosc afegiu-hi l’arròs, el conill i, després de remenar-ho un parell de minuts, l’aigua bullent.
Deixeu-ho coure a foc moderat uns 18 minuts aproximadament.
A mig coure afegiu-hi la picada.","Es pot fer amb conill de bosc, que haurà de coure més estona. 
S’hi poden afegir cargols.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Panetela,Postres i dolços,"250 g de farina.
250 g de sucre.
4 ous.
1 cullerada d’oli.
1 pell de llimona.","Bateu els ous amb el sucre en un bol i després afegiu-hi l’oli i la farina  i ho remeneu ben remenat.
Després afegiu-hi la pell de llimona ratllada i ho torneu a treballar.
Poseu-ho a coure al forn a 175º uns 30 minuts aproximadament.",,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Truita de riu amb panses i pinyons,Peixos i mariscs,"4 truites de riu.
3 grans d’all trinxats.
3 tomàquets ratllats.
50 g de panses.
50 g de pinyons.
Farina.
Timó (farigola).
Oli.
Sal.
Pebre.
Aigua.","Netegeu, saleu i poseu una branca de timó dins la panxa de les truites.
Enfarineu-les i fregiu-les amb oli ben calent, i reserveu-les.
Feu un sofregit amb els alls i els tomàquets en una cassola amb una mica d’oli i afegiu-hi els fruits secs.
Poseu les truites a la cassola amb una miqueta d’aigua i deixeu que cogui a foc lent uns minuts tot junt.",,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Crestó amb múrgoles,Carns,"2 kg de carn de crestó.
1 kg de múrgules.
2 l vi negre.
2 pastanagues.
1 cabeça d’alls.
2 porros.
2 cebes.
1 manat d’herbes: sajolida, farigola i llorer.
1 culleradeta de Ginebrons.
Grans de pebre.
200g de llard.
2 cullerades de farina.
Aigua o brou.
Sal.","Talleu el crestó a daus i poseu-lo a macerar amb les verdures tallades en forma de bresa, les herbes i les espècies, tot cobert amb el vi negre durant 24 hores a la nevera.
Traieu la carn de l’adob, i ofegueu-la en una cassola amb llard a foc viu fins que agafi color, afegiu-hi les verdures de l’adob i sofregiu-les.
Afegiu-hi el vi i l’aigua i deixeu-ho coure fins que la carn sigui tova.
Traieu la carn de la cassola i passeu el suc amb les verdures pel colador xinès. Poseu la salsa en un cassó i deixeu-la reduïr a la meitat. Convé que desgreixeu la salsa.
Poseu la carn a la cassola amb la salsa reduïda i afegiu els bolets prèviament saltats. Deixeu –ho coure tot junt.","Es pot fer amb altres bolets.
Es pot espessir la salsa amb una mica de farina passada per la paella amb oli.
Es pot afegir una picada d’alls i pinyons uns minuts abans d’acabar el plat.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Cabrit amb moixernons,Carns,"1 kg de cabrit trossejat.
200 g de moixernons frescos.
1 ceba tallada a la juliana.
2 grans d’all trinxats.
1 pebrot vermell tallat a daus petits.
1 got de vi ranci.
1 ou.
Farina.
Llorer.
Sal.
Pebre.
Llard o oli.
Julivert.","Salpebreu el cabrit, enfarineu-lo, fregiu-lo en una cassola amb llard o oli i reserveu-lo.
En la mateixa cassola feu un sofregit amb la ceba, els alls, el llorer i el pebrot.
A banda, saltegeu els moixernons amb all i julivert.
Un cop cuit el sofregit afegiu-hi el cabrit, tireu-hi el vi ranci i deixeu-ho reduir, poseu-hi els moixernons i deixeu-ho coure tot junt amb la cassola tapada a foc lent fins que el cabrit sigui tou.",Es pot fer amb altres bolets.,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Orada a la sal,Peixos i mariscs,"Per a 1 persona
1 orada de 1 ½ kg.
1 kg  aprox. de sal gruixuda.
Aigua.","Traieu les tripes de l’orada, però no les escates.
Renteu-la i escorreu-la.
Poseu una capa de sal de 1 cm de gruix al fons d’una plata de forn, coloqueu-hi l’orada a sobre i cobriu-la totalment amb una capa de sal, esquitxeu-la d’aigua i poseu-la al forn a temperatura alta de 20 a 25 minuts.
Per servir l’orada traieu la crosta de sal i així arrencareu la pell i les escates del peix.",,"{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
Sopa de fredolics,"Sopes, escudelles, brous, farientes i cremes","500 g de fredolics.
Llesques de pa sec.
1 ceba trinxada.
1 all trinxat.
Un manat d’herbes (timó, sajolida, orenga). 
Oli.
Sal.
Pebre.
Aigua.
Per fer la picada:
1 gra d’all.
Un grapadet d’ametlles torrades.","Feu un sofregit amb la ceba i l’all en una olla amb oli.
Afegiu-hi els bolets i deixeu que perdin la seva aigua.
Mulleu-ho amb aigua, tireu-hi el manat d’herbes i deixeu-ho bullir una mitja hora.
Quan faltin 10 minuts per acabar la cocció afegiu-hi el pa llescat i la picada.
Traieu el manat d’herbes i  rectifiqueu-ho de sal i pebre.","Es pot afegir tomàquet al sofregit.
Es pot fer amb brou de verdures en comptes d’aigua.","{'Àcid fòlic (µg)': {'Per una ració': '21', 'QDR': '200'}, 'Vitamina E (mg)': {'Per una ració': '2,60', 'QDR': '10'}, 'Vitamina C (mg)': {'Per una ració': '7,5', 'QDR': '60'}}"
